Price,Date,Close,High,Low,Open,Volume
790,2024-01-24,60494.8828125,61092.52823164987,60362.07487376877,60826.90847624368,1211996
791,2024-01-25,60428.484375,60826.91209282673,60229.26663814268,60494.886409341816,898943
792,2024-01-26,61092.53125,61092.53125,60694.10353617777,60826.91148147054,1523554
793,2024-01-29,60561.2890625,61092.52857630943,60362.0752143074,60959.72063682894,1202727
794,2024-01-30,60428.484375,60561.2923216276,59830.83892031595,60561.2923216276,1397227
795,2024-01-31,58768.359375,60162.86413235388,58768.359375,60162.86413235388,1524302
796,2024-02-01,59631.625,59897.24477092563,58436.33409186269,58436.33409186269,998809
797,2024-02-02,59963.64453125,60096.45635064828,59166.78912663552,59166.78912663552,1266265
798,2024-02-05,59764.4296875,60162.8612611337,59366.00199181004,59897.24150469248,3018405
799,2024-02-06,59432.41015625,60162.86354470285,59166.7903897268,59963.64581135253,2132318
800,2024-02-07,59764.4296875,60295.66920038244,59299.59608321379,59764.4296875,2154893
801,2024-02-15,59698.02734375,60229.26688835522,59166.791677088746,59764.43325631165,1705346
802,2024-02-16,59498.8125,59897.24409083653,59432.4104664805,59698.02635644631,1198392
803,2024-02-19,59897.2421875,60096.45603761595,59299.59675920837,59698.02445944027,1703253
804,2024-02-20,60627.6953125,60694.10122158593,59366.002429586166,59830.83603730014,2272848
805,2024-02-21,60561.2890625,60893.31472811683,60096.45545740269,60893.31472811683,2184793
806,2024-02-22,59432.41015625,60428.48331122606,59432.41015625,60162.86354470285,1934380
807,2024-02-23,59033.9765625,60694.10101637258,59033.9765625,59432.40813772467,2832875
808,2024-02-26,59432.41015625,59764.4319559461,59033.97856749325,59033.97856749325,1184040
809,2024-02-27,60494.8828125,60561.28872083748,59166.78791341275,59498.8096992127,2539855
810,2024-02-28,64678.39453125,64678.39453125,60030.05063989357,60428.48222146505,6479180
811,2024-02-29,64611.9921875,66736.94639316695,64611.9921875,65408.85146885402,2976545
812,2024-03-01,64611.9921875,65209.63374005768,63018.27362479194,65209.63374005768,3623282
813,2024-03-04,63748.7265625,65076.82147777029,63483.10680385718,65076.82147777029,2592928
814,2024-03-05,63416.703125,64147.15651747096,63217.48926849772,64147.15651747096,2145026
815,2024-03-06,63483.109375,64279.968683202205,63151.083693763096,63416.70346316383,3095547
816,2024-03-07,63615.9140625,64678.39308568575,63416.70021513861,63682.319970935045,3746918
817,2024-03-08,63151.08203125,64080.75313865005,63151.08203125,63682.32155606608,3480210
818,2024-03-11,62487.03515625,63748.72807015644,62487.03515625,63151.08262958986,2995980
819,2024-03-12,62686.25,63018.275680883096,62420.63023088231,62487.03614264771,1697273
820,2024-03-13,63748.7265625,64080.75223028946,62619.8416187821,63018.27319571821,4916307
821,2024-03-14,63084.6796875,63815.133061028086,62819.05992640399,63748.727151268125,3509663
822,2024-03-15,62420.62890625,63084.68025392432,62354.22299589381,63084.68025392432,3687417
823,2024-03-18,61756.58203125,62752.65518441005,61424.55635421536,62619.84336241864,2791912
824,2024-03-19,61424.5546875,62088.602145606914,61424.5546875,61424.5546875,1584849
825,2024-03-20,61889.390625,62487.03607434755,61424.55699903809,61424.55699903809,1451495
826,2024-03-21,63217.48828125,63416.70213464122,62420.62898974128,62420.62898974128,2532679
827,2024-03-22,64014.34765625,64279.96742043267,63217.48836370197,63217.48836370197,2824055
828,2024-03-25,63549.515625,64346.3749374425,62487.03654174333,63084.68199556119,2365987
