Date,Close,High,Low,Open,Volume
2023-11-09,14417.37890625,14623.341462053571,14325.839992559524,14577.572005208332,8507000
2023-11-10,14211.4169921875,14417.379557291666,14051.22388599537,14280.071180555557,11308600
2023-11-13,14142.76171875,14325.839540351944,14028.338080248786,14325.839540351944,9664600
2023-11-14,14417.37890625,14531.802548363095,14142.76216517857,14257.185807291666,17727402
2023-11-15,14440.263671875,14737.7651421355,14417.378943393423,14646.226228209192,7343000
2023-11-16,14508.91796875,14554.68742606467,14417.379054120664,14417.379054120664,17575800
2023-11-17,14257.185546875,14623.341194948836,14051.222994833468,14508.917554925763,10855200
2023-11-20,14188.5322265625,14302.955873550907,13936.800203188004,13959.684932585686,19512800
2023-11-21,14096.9931640625,14348.72518484933,14096.9931640625,14348.72518484933,7944000
2023-11-22,14165.646484375,14188.531212136511,14028.338117805935,14142.76175661349,14572400
2023-11-23,13913.9150390625,14325.840155350534,13913.9150390625,14280.070697985197,11977204
2023-11-24,13753.7216796875,14005.453690463812,13479.1049406588,13891.030049201852,41065200
2023-11-27,13410.451171875,13707.952648384173,13410.451171875,13707.952648384173,6230340
2023-11-28,13707.9521484375,13707.9521484375,13181.603401502503,13410.45068277859,68507400
2023-11-29,13685.068359375,13868.146196958613,13547.759981187291,13685.068359375,7617400
2023-11-30,13501.990234375,13753.722255693856,13501.990234375,13616.413880429023,43003320
2023-12-01,13616.4140625,13662.183521533614,13433.336226365547,13547.75987394958,20060620
2023-12-04,13822.3759765625,13959.684347190603,13639.29814905836,13639.29814905836,47062000
2023-12-05,13753.7216796875,13868.14532094946,13685.067494930325,13845.260592697068,16107000
2023-12-06,13913.9150390625,13959.684496427835,13730.83720960115,13730.83720960115,73262000
2023-12-07,14119.8779296875,14211.416846573644,13868.145908250608,13982.569554358286,15788600
2023-12-08,14165.646484375,14188.531212136511,14005.453390044426,14119.87702885198,64160560
2023-12-11,14119.8779296875,14188.532117352108,14028.339012801358,14165.647388130572,12877000
2023-12-12,14211.4169921875,14211.4169921875,14074.108615451389,14119.878074363423,77335400
2023-12-13,13959.6845703125,14257.186044761782,13959.6845703125,14257.186044761782,15026000
2023-12-14,13982.5693359375,14119.877709121827,13982.5693359375,14096.992980257775,43614400
2023-12-15,14005.4541015625,14096.993017258988,13913.915185866012,13982.56937263838,4526200
